"X1","X2","X3","mid_lon","mid_lat","mid_dist"
15,94,216,-94.5447156333333,48.3333828,0.91104301371767
39,69,172,-94.0761504,48.0447373,0.847127544724081
15,94,172,-94.6936203666667,48.3113429,0.842731622961774
39,83,94,-93.8457003,47.7290537666667,0.83468215037444
59,82,208,-91.3653849,47.1870934333333,0.833276741676203
94,207,210,-94.0527807333333,48.0740591,0.830801835904381
94,207,211,-94.0527807333333,48.0740591,0.830801835904381
94,116,216,-94.0171382666667,48.0386621666667,0.82654641585266
172,214,216,-95.2299055333333,48.2877636333333,0.7837471067734
83,172,210,-93.9587440666667,47.858955,0.777673739438949
83,172,211,-93.9587440666667,47.858955,0.777673739438949
83,89,216,-93.9363628666667,47.8418552,0.751097628506757
94,131,216,-93.8335452,47.9856008666667,0.743764717133156
83,210,216,-93.8098393333333,47.8809949,0.72645484407831
83,211,216,-93.8098393333333,47.8809949,0.72645484407831
15,76,118,-95.5983392333333,47.5901252,0.70607977481358
39,210,216,-94.1689294,47.938292,0.706073729299504
39,211,216,-94.1689294,47.938292,0.706073729299504
76,94,215,-95.3080841,48.1206544333333,0.701718296449571
39,172,208,-94.0182186,47.7521098333333,0.693405142312836
16,39,94,-94.2932201666667,47.813287,0.67483607450461
39,59,216,-94.010618,47.6936855666667,0.670902641460191
69,82,208,-91.2820125666667,47.5601850666667,0.65901602926579
15,76,216,-95.3261852,47.9938671,0.657658700149322
172,207,215,-96.2454039666667,48.3849475333333,0.657312766204652
39,88,216,-94.0376443333333,47.7034788333333,0.651818404946781
39,58,216,-94.0317017333333,47.6813453,0.646502883481281
39,60,216,-94.0723276333333,47.7163557666667,0.628569394794698
76,207,216,-95.7549373666667,48.199795,0.625887239195688
29,133,146,-96.3145205666667,45.7149523,0.614741507725225
15,94,215,-95.0250322,48.0939988,0.613146586088165
39,172,210,-94.3178341333333,47.9162521,0.605599176579363
39,172,211,-94.3178341333333,47.9162521,0.605599176579363
39,89,216,-94.2954529333334,47.8991523,0.601820660505892
118,207,216,-95.8883367,48.2426295333333,0.599431121854498
39,53,94,-94.0395953666667,47.5517455666667,0.590346402891384
83,94,148,-93.9925511,47.5754067333333,0.590086550254919
39,69,76,-94.0660003666667,47.6202007666667,0.589132524051447
94,172,210,-93.9172305,48.3193233666667,0.581769300185296
94,172,211,-93.9172305,48.3193233666667,0.581769300185296
15,94,207,-94.8291706,48.0660786333333,0.576325268117605
83,131,172,-94.0239635,47.5031926,0.575331867355331
83,89,94,-93.293648,47.7347944666667,0.573526735288195
39,69,207,-94.2117006333333,47.7994730333333,0.572897408710428
74,133,146,-96.1376131333333,45.7200867,0.563577966889016
15,63,94,-95.1072408666667,48.0084931,0.555118810937872
57,76,118,-95.9126903,47.3643691333333,0.55221553178441
16,57,148,-95.2528397,47.0677125666667,0.550596877742568
39,44,216,-94.1313314333333,47.6630963666667,0.5504840960667
69,210,211,-92.3279827666667,47.646406,0.547428437613458
83,132,216,-94.0499958333333,47.3320631666667,0.535642457820971
83,94,213,-94.0231172333333,47.4156475,0.535481390738988
83,208,215,-93.9905403666667,47.4774686333333,0.533505224824048
39,59,172,-94.1595227333333,47.6716456666667,0.530995456518919
118,172,207,-96.0372414333333,48.2205896333333,0.529885198250281
89,208,216,-93.3172615666667,47.7798904333333,0.528562029515508
15,16,172,-95.1826538,47.9352077666667,0.524628400284083
83,94,214,-93.8370846333333,47.6353137,0.524566050463806
39,94,139,-94.0987624,47.4980985,0.519479506733207
39,89,172,-94.4443576666667,47.8771124,0.51942615934249
39,94,151,-94.1074446666667,47.5247731333333,0.517662011878664
39,88,172,-94.1865490666667,47.6814389333333,0.514130398082801
39,94,214,-94.1961747,47.6926108,0.512977803404712
76,118,129,-96.2212541,47.3834427,0.510165489046696
83,88,172,-93.827459,47.6241418333333,0.509869631610085
39,57,69,-94.0972995333333,47.3677890666667,0.508330545688759
39,58,172,-94.1806064666667,47.6593054,0.506591246214396
59,69,208,-91.8700558333333,47.2376573,0.506154500510928
83,208,216,-93.5102238,47.7168526333333,0.505781180227286
39,94,154,-94.1366403666667,47.5640293333333,0.502394700273873
83,172,208,-93.6591285333333,47.6948127333333,0.500860682125676
39,60,172,-94.2212323666667,47.6943158666667,0.494291128493385
39,69,118,-94.1993997,47.6630353,0.493046268939316
39,94,106,-94.1206053333333,47.3210293333333,0.48876901193562
94,172,208,-93.6176149666667,48.1551811,0.486879541242094
39,69,215,-94.4075622333333,47.8273932,0.486183399148315
60,210,211,-92.4730647333333,47.2959845666667,0.484097481874505
15,16,216,-95.0337490666667,47.9572476666667,0.482513207565483
53,69,87,-94.0946804333333,47.1534788,0.474256458635403
148,207,213,-95.4562279333333,47.1590541333333,0.473672067636186
76,106,207,-95.4286411,47.2243414666667,0.473506503736244
89,132,210,-92.9363465333333,46.9298493666667,0.470828828324158
89,132,211,-92.9363465333333,46.9298493666667,0.470828828324158
15,51,94,-94.9709158333333,47.9584741666667,0.470054120520316
76,118,139,-95.3944972333333,47.2649729,0.46949224761482
39,207,208,-94.1537688333333,47.5068455666667,0.468224133599464
83,131,216,-93.8750587666667,47.5252325,0.46782694767364
