"address","lat","lon","id"
"221 2nd St NE, Aitkin, MN 56431, USA",46.5332015,-93.7034439,"ChIJ6SNdj1U5sVIRmJw03LXdTSo"
"331 7th St S, Albany, MN 56307, USA",45.6273983,-94.5735106,"ChIJGxdCH8qttVIRdlWc09NCg1Q"
"2530 Bridge Ave, Albert Lea, MN 56007, USA",43.6823803,-93.3585328,"ChIJVaLCehU08YcRAsGJ3kukP64"
"907 N Nokomis NE, Alexandria, MN 56308, USA",45.9006718,-95.3670495,"ChIJ_WIV3QUPylIRFsjCkjzu9b8"
"1701 Broadway St, Alexandria, MN 56308, USA",45.8723864,-95.3768177,"ChIJm6z36mcOylIRFkfYcqU-gRw"
"600 Elm St E, Annandale, MN 55302, USA",45.2581058,-94.1138942,"ChIJ49g0eSyVtFIRCFC3kslNP3I"
"3511 Round Lake Blvd NW, Anoka, MN 55303, USA",45.2178815,-93.3581638,"ChIJH8MucM49s1IRz7ThLlzx2Oc"
"424 W Main St, Anoka, MN 55303, USA",45.2019245,-93.3973697,"ChIJRQ7k3u8-s1IR18EgkerV028"
"7720 149th St W, Apple Valley, MN 55124, USA",44.7329233,-93.2219557,"ChIJsUCsYNQw9ocRNkAuFMV85jU"
"1200 W Oakland Ave, Austin, MN 55912, USA",43.6667975,-92.9889324,"ChIJ2yPlamXR8IcReuMo8_3OpMo"
"104 MN-34, Barnesville, MN 56514, USA",46.6592875,-96.419265,"ChIJScKiYszhyFIRVnpCSearGOo"
"301 Lake Ave S, Battle Lake, MN 56515, USA",46.2844056,-95.7145716,"ChIJ19qoVJyTyVIRJ4thy3yLLlM"
"14136 Baxter Dr Ste 49, Baxter, MN 56401, USA",46.3579178,-94.2244597,"ChIJdTgEnyi8tlIR_uFSJKKG4yI"
"325 S Walnut St, Belle Plaine, MN 56011, USA",44.617102,-93.763389,"ChIJ0USJhZXf9YcR8cTLAiN7A0M"
"1401 Paul Bunyan Dr NW, Bemidji, MN 56601, USA",47.4939794,-94.8988361,"ChIJhQD1j_wtuFIRc5jpYYXaCIU"
"700 Paul Bunyan Dr SE, Bemidji, MN 56601, USA",47.464088,-94.8706834,"ChIJo3FXqLQtuFIR_Geyz_sMSaA"
"2214 Atlantic Ave, Benson, MN 56215, USA",45.3182687,-95.6122991,"ChIJLdTqPCzwylIRmoRd0ZpuQok"
"300 Fern St, Big Lake, MN 55309, USA",45.3330164,-93.7402452,"ChIJu1Uokbhjs1IRL9ecR1GYzec"
"8528 Central Ave NE, Blaine, MN 55434, USA",45.1257966,-93.2359899,"ChIJtd2z66Als1IRKkJRelOcyZ0"
"12721 Central Ave NE, Blaine, MN 55434, USA",45.2009904,-93.2336221,"ChIJ_56zjLwjs1IR3aGdb1RXPk8"
